model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-43.509508,0.375866,36.583225,0.000631,0.33722,2,TRUE,10
CatBoost,-46.108553,0.119885,13.233765,0.119885,13.233765,1,TRUE,6
LightGBMLarge,-46.417659,0.028268,9.130265,0.028268,9.130265,1,TRUE,9
LightGBM,-46.541892,0.02115,4.134782,0.02115,4.134782,1,TRUE,4
LightGBMXT,-46.575473,0.030344,3.686122,0.030344,3.686122,1,TRUE,3
XGBoost,-49.280307,0.022429,9.75203,0.022429,9.75203,1,TRUE,8
ExtraTreesMSE,-64.696298,0.118428,375.589003,0.118428,375.589003,1,TRUE,7
RandomForestMSE,-74.283733,0.160248,364.496136,0.160248,364.496136,1,TRUE,5
KNeighborsDist,-86.214194,0.174309,0.443823,0.174309,0.443823,1,TRUE,2
KNeighborsUnif,-87.020003,0.19992,0.663007,0.19992,0.663007,1,TRUE,1
