model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-189.951417,0.6224,32.031647,0.001295,0.389171,2,FALSE,5
LightGBMXT_BAG_L1,-189.970404,0.294844,19.942335,0.294844,19.942335,1,FALSE,3
LightGBMXT_BAG_L2,-190.000305,5.22605,49.246328,0.346431,16.727072,2,FALSE,6
WeightedEnsemble_L3,-190.000305,5.226851,49.402239,0.000801,0.155911,3,FALSE,8
LightGBM_BAG_L1,-190.078126,0.326261,11.700141,0.326261,11.700141,1,FALSE,4
LightGBM_BAG_L2,-190.186225,5.174876,40.165654,0.295257,7.646398,2,FALSE,7
KNeighborsDist_BAG_L1,-219.00261,2.138174,0.39096,2.138174,0.39096,1,TRUE,2
KNeighborsUnif_BAG_L1,-219.379625,2.120341,0.485821,2.120341,0.485821,1,TRUE,1
KNeighborsUnif_BAG_L1_FULL,NaN,2.120341,0.485821,2.120341,0.485821,1,TRUE,9
KNeighborsDist_BAG_L1_FULL,NaN,2.138174,0.39096,2.138174,0.39096,1,TRUE,10
